"parent_id","parent_text","child_id","child_text"
,,1,surveillance systems self install
2683,"10 best security camera systems",2684,surveillance systems self install
2683,"10 best security camera systems",2685,how much does it cost to install 4 security cameras
2683,"10 best security camera systems",2686,how do you install security cameras
2683,"10 best security camera systems",2687,whats the best home surveillance system
2683,"10 best security camera systems",2688,how do i install cctv on youtube
3780,"10 best security camera systems",3816,best outdoor security cameras 2019
3780,"10 best security camera systems",3811,wireless security camera system with remote viewing
3780,"10 best security camera systems",3796,best wireless security camera system
3780,"10 best security camera systems",3801,best outdoor security cameras 2018
3780,"10 best security camera systems",3791,best home security camera system consumer reports
3780,"10 best security camera systems",3786,best outdoor wireless security camera system with dvr
3780,"10 best security camera systems",3781,best outdoor security camera system
3780,"10 best security camera systems",3806,best cctv camera brand
564,"2 outdoor security cameras",565,security cameras best buy
564,"2 outdoor security cameras",566,what is the best security cameras to buy
564,"2 outdoor security cameras",567,what is the best security camera for home
564,"2 outdoor security cameras",568,what are the best outdoor security camera systems
564,"2 outdoor security cameras",569,how much is a outdoor security camera
1623,adt installation cost,1628,is adt equipment free
1623,adt installation cost,1627,how much is adt security per month
1623,adt installation cost,1626,how much does it cost to install an adt alarm system
1623,adt installation cost,1625,how much does it cost to install a security system
1623,adt installation cost,1624,how much is it to install security system
1592,amazon blink,1594,what is the best home outdoor security cameras
1592,amazon blink,1593,home security cameras amazon
1592,amazon blink,1595,how much is a home camera system
1592,amazon blink,1596,what is the best affordable security camera
1592,amazon blink,1597,do you need wifi for wireless security cameras
1562,amazon wireless security camera system with dvr,1563,home security cameras amazon
1562,amazon wireless security camera system with dvr,1564,what is the best home outdoor security cameras
1562,amazon wireless security camera system with dvr,1565,how much is a home camera system
1562,amazon wireless security camera system with dvr,1566,what is the best affordable security camera
1562,amazon wireless security camera system with dvr,1567,do you need wifi for wireless security cameras
2,are wireless security cameras good,27,wire free security camera
2,are wireless security cameras good,33,wired and wireless security camera system
2,are wireless security cameras good,45,surveillance system with wired and wireless security cameras
2,are wireless security cameras good,39,best outdoor wireless security camera system with dvr
2,are wireless security cameras good,21,best outdoor security cameras 2018
2,are wireless security cameras good,15,best home security camera system consumer reports
2,are wireless security cameras good,9,hardwired vs wireless security cameras
2,are wireless security cameras good,3,wireless outdoor security cameras
1408,are wireless security cameras really wireless,1451,wire free security cameras
1408,are wireless security cameras really wireless,1445,compare security cameras
1408,are wireless security cameras really wireless,1439,wired security cameras
1408,are wireless security cameras really wireless,1427,beginners guide to security cameras
1408,are wireless security cameras really wireless,1421,security camera system
1408,are wireless security cameras really wireless,1415,how do you power a wireless camera
1408,are wireless security cameras really wireless,1409,how to install wireless security cameras
1408,are wireless security cameras really wireless,1433,best outdoor wireless security camera system with dvr
2332,are wireless security cameras reliable,2375,convert wired security camera to wireless
2332,are wireless security cameras reliable,2351,surveillance system with wired and wireless security cameras
2332,are wireless security cameras reliable,2333,hardwired vs wireless security cameras
2332,are wireless security cameras reliable,2339,wired and wireless security camera system
2332,are wireless security cameras reliable,2345,pros and cons of wireless home security system
2332,are wireless security cameras reliable,2369,best poe security camera system
2332,are wireless security cameras reliable,2357,wire free security camera
2332,are wireless security cameras reliable,2363,best outdoor security cameras 2018
2482,arlo amazon,2483,arlo wireless security cameras
2486,arlo go,2487,arlo wireless security cameras
2484,arlo pelicula,2485,arlo wireless security cameras
2478,arlo ultra,2479,arlo wireless security cameras
1234,arlo ultra 4k uhd wirefree security camera system,1237,whats the best outdoor security camera system
1234,arlo ultra 4k uhd wirefree security camera system,1238,are wifi home security cameras safe
1234,arlo ultra 4k uhd wirefree security camera system,1236,what is the best wireless home surveillance system
1234,arlo ultra 4k uhd wirefree security camera system,1235,best wireless home security camera system
1745,arlo wireless security cameras,1749,what is the best surveillance cameras wireless
1745,arlo wireless security cameras,1748,do you have to have wifi for wireless security cameras
1745,arlo wireless security cameras,1747,are wireless security cameras really wireless
1745,arlo wireless security cameras,1746,security cameras wireless
1745,arlo wireless security cameras,1750,are wireless security cameras good
2471,arlo wireless security cameras,2482,arlo amazon
2471,arlo wireless security cameras,2480,productos arlo
2471,arlo wireless security cameras,2478,arlo ultra
2471,arlo wireless security cameras,2476,configurar camaras arlo
2471,arlo wireless security cameras,2474,camaras arlo pro 2
2471,arlo wireless security cameras,2484,arlo pelicula
2471,arlo wireless security cameras,2486,arlo go
2471,arlo wireless security cameras,2472,camaras arlo pro
521,average cost of cctv installation in delhi,526,what is the cost of cctv camera in india
521,average cost of cctv installation in delhi,525,what is required for cctv installation
521,average cost of cctv installation in delhi,524,how much does it cost to install a video surveillance system
521,average cost of cctv installation in delhi,523,how much does it cost to install cctv at home
521,average cost of cctv installation in delhi,522,average cost of cctv installation in india
484,average cost of cctv installation in india,527,how much does it cost to install security cameras in schools
484,average cost of cctv installation in india,485,cctv installation cost in india
484,average cost of cctv installation in india,491,cctv installation cost in bangalore
484,average cost of cctv installation in india,497,security camera installation labor cost
484,average cost of cctv installation in india,503,how much does it cost to install a video surveillance system
484,average cost of cctv installation in india,509,cctv installation cost in mumbai
484,average cost of cctv installation in india,515,lorex installation cost
484,average cost of cctv installation in india,521,average cost of cctv installation in delhi
595,average cost of cctv installation in india,599,how much does it cost to install a ring camera
595,average cost of cctv installation in india,600,how much does a home security system cost to install
595,average cost of cctv installation in india,598,how long does it take to install security cameras
595,average cost of cctv installation in india,597,how much does cctv installation cost
595,average cost of cctv installation in india,596,how much should i charge to install security cameras
1294,average cost of cctv installation in india,1295,cctv installation cost in bangalore
1294,average cost of cctv installation in india,1296,how much does it cost to install a cctv
1294,average cost of cctv installation in india,1297,how much does camera installation cost
1294,average cost of cctv installation in india,1298,what is required for cctv installation
1294,average cost of cctv installation in india,1299,what is the cost of cctv camera in india
1513,average cost of cctv installation in india,1514,how much does it cost to install a cctv
1513,average cost of cctv installation in india,1515,how much does it cost to install cctv at home
1513,average cost of cctv installation in india,1516,what is required for cctv installation
1513,average cost of cctv installation in india,1517,how long does it take to install cctv
1513,average cost of cctv installation in india,1518,do i need permission to install cctv
3123,average cost of cctv installation in india,3128,what is required for cctv installation
3123,average cost of cctv installation in india,3124,how much does it cost to install security cameras
3123,average cost of cctv installation in india,3125,how much does it cost to install cctv
3123,average cost of cctv installation in india,3127,how long does it take to install security cameras
3123,average cost of cctv installation in india,3126,how much does it cost to install security cameras in schools
3542,average cost of cctv installation in india,3547,how much is it to install security system
3542,average cost of cctv installation in india,3543,how much does it cost to install 4 security cameras
3542,average cost of cctv installation in india,3544,how much should i charge to install security cameras
3542,average cost of cctv installation in india,3545,how long does it take to install security cameras
3542,average cost of cctv installation in india,3546,what is required for cctv installation
1629,average cost of home security system,1630,how much is it to install security system
1629,average cost of home security system,1631,how much does it cost to install a security system
1629,average cost of home security system,1634,is adt equipment free
1629,average cost of home security system,1633,how much is adt security per month
1629,average cost of home security system,1632,how much does it cost to install an adt alarm system
425,basic cctv installation,426,cctv installation steps
425,basic cctv installation,427,what is required for cctv installation
425,basic cctv installation,428,how cctv is installed
425,basic cctv installation,429,how much does it cost to install cctv
